Sr. No.,Content ID,Type,Datetime,Sentiment,Score,Content Type,Category,,Category,Score
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,positive,75,photo,Studying,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,negative,0,photo,Studying,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,positive,75,photo,Studying,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,positive,30,photo,Studying,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,negative,10,photo,Studying,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,negative,15,photo,Studying,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,negative,10,photo,Studying,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,positive,70,photo,Studying,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,positive,30,photo,Studying,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,neutral,20,photo,Studying,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,negative,12,photo,Studying,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,negative,5,photo,Studying,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,negative,10,photo,healthy eating,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,positive,45,photo,healthy eating,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,neutral,35,photo,healthy eating,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,negative,15,photo,healthy eating,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,negative,5,photo,healthy eating,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,negative,0,photo,healthy eating,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,negative,5,photo,healthy eating,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,positive,50,photo,healthy eating,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,positive,65,photo,healthy eating,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,positive,65,photo,healthy eating,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,positive,60,photo,healthy eating,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,neutral,20,photo,healthy eating,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,neutral,35,photo,healthy eating,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,positive,65,photo,healthy eating,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,positive,50,photo,healthy eating,,,
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,negative,5,photo,healthy eating,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,positive,75,photo,healthy eating,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,positive,72,photo,healthy eating,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,negative,15,photo,healthy eating,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,positive,70,photo,healthy eating,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,positive,72,photo,healthy eating,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,positive,30,photo,healthy eating,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,positive,60,photo,healthy eating,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,positive,50,photo,healthy eating,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,positive,50,photo,healthy eating,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,negative,5,photo,healthy eating,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,positive,30,photo,healthy eating,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,negative,10,photo,healthy eating,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,neutral,35,photo,healthy eating,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,positive,60,photo,healthy eating,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,positive,75,photo,healthy eating,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,positive,70,photo,healthy eating,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,negative,5,photo,healthy eating,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,negative,10,photo,healthy eating,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,negative,15,photo,healthy eating,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,negative,10,photo,healthy eating,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,positive,70,photo,healthy eating,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,positive,30,photo,healthy eating,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,positive,65,photo,healthy eating,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,positive,60,photo,healthy eating,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,negative,0,photo,healthy eating,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,positive,72,photo,healthy eating,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,positive,72,photo,healthy eating,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,positive,72,photo,healthy eating,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,negative,12,photo,healthy eating,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,positive,30,photo,healthy eating,,,
92,356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,negative,12,photo,technology,,,
93,356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,positive,70,photo,technology,,,
94,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,positive,60,photo,technology,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,negative,15,photo,technology,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,positive,60,photo,technology,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,negative,5,photo,technology,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,neutral,20,photo,technology,,,
99,01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,negative,15,video,food,,,
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,positive,30,GIF,cooking,,,
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,negative,5,GIF,cooking,,,
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,positive,70,GIF,cooking,,,
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,neutral,35,GIF,cooking,,,
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,negative,10,GIF,cooking,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,positive,65,GIF,cooking,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,positive,70,GIF,cooking,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,positive,30,GIF,cooking,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,positive,72,GIF,cooking,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,positive,50,GIF,cooking,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,positive,50,GIF,cooking,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,positive,70,GIF,cooking,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,neutral,20,GIF,cooking,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,positive,72,GIF,cooking,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,negative,12,GIF,cooking,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,neutral,35,GIF,cooking,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,negative,10,GIF,cooking,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,negative,10,GIF,cooking,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,positive,45,GIF,cooking,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,neutral,20,GIF,cooking,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,neutral,35,GIF,cooking,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,positive,72,GIF,cooking,,,
122,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,positive,70,video,dogs,,,
123,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,positive,60,video,dogs,,,
124,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,positive,45,video,dogs,,,
125,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18-03-2021 01:53,negative,12,video,dogs,,,
126,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021 07:21,negative,0,video,dogs,,,
127,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23-12-2020 04:11,positive,60,video,dogs,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21-05-2021 07:23,negative,5,video,dogs,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28-03-2021 23:25,positive,50,video,dogs,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16-09-2020 07:33,neutral,35,video,dogs,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08-11-2020 10:53,neutral,20,video,dogs,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06-03-2021 05:23,positive,60,video,dogs,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021 23:35,negative,0,video,dogs,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,want,06-09-2020 22:35,positive,70,video,dogs,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24-06-2020 09:31,positive,30,video,dogs,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07-02-2021 21:39,negative,5,video,dogs,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21-01-2021 18:28,positive,45,video,dogs,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,negative,10,video,dogs,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22-08-2020 12:06,negative,12,video,dogs,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03-08-2020 06:29,positive,70,video,dogs,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-08-2020 06:20,negative,15,video,dogs,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,want,04-06-2021 04:57,positive,70,video,dogs,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21-10-2020 09:07,positive,75,video,dogs,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,negative,10,video,dogs,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-03-2021 22:47,negative,15,video,dogs,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31-03-2021 09:48,neutral,20,video,dogs,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14-06-2021 13:44,positive,30,video,dogs,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27-12-2020 17:04,negative,15,video,dogs,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11-02-2021 03:51,negative,15,video,dogs,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07-12-2020 19:07,positive,30,video,dogs,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28-12-2020 08:31,positive,30,video,dogs,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26-10-2020 05:27,positive,30,video,dogs,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26-09-2020 18:43,negative,12,video,dogs,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25-11-2020 13:01,negative,15,video,dogs,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11-07-2020 05:51,positive,60,video,dogs,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19-03-2021 16:23,positive,60,video,dogs,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11-10-2020 18:31,positive,30,video,dogs,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02-11-2020 20:15,positive,60,video,dogs,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,want,01-10-2020 03:35,positive,70,video,dogs,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11-02-2021 20:10,negative,0,video,dogs,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,want,07-02-2021 15:59,positive,70,video,dogs,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,17-10-2020 11:46,negative,5,video,dogs,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,like,09-08-2020 19:41,positive,50,video,dogs,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,love,01-02-2021 02:40,positive,65,video,dogs,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30-01-2021 09:36,positive,72,video,dogs,,,
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31-03-2021 15:24,positive,70,video,technology,,,
167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,05-02-2021 17:00,positive,75,video,technology,,,
168,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19-02-2021 16:29,positive,60,video,technology,,,
169,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,25-07-2020 00:00,negative,12,video,technology,,,
170,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13-07-2020 02:38,positive,72,photo,soccer,,,
171,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,13-01-2021 13:11,neutral,20,photo,soccer,,,
172,0bedca96-fb76-4287-a83c-17330ed39cce,worried,02-01-2021 16:46,negative,12,photo,soccer,,,
173,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26-11-2020 02:25,positive,45,photo,soccer,,,
174,0bedca96-fb76-4287-a83c-17330ed39cce,want,25-08-2020 19:18,positive,70,photo,soccer,,,
175,0bedca96-fb76-4287-a83c-17330ed39cce,hate,01-02-2021 00:15,negative,5,photo,soccer,,,
176,0bedca96-fb76-4287-a83c-17330ed39cce,love,04-06-2021 14:36,positive,65,photo,soccer,,,
177,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19-08-2020 13:38,positive,72,photo,soccer,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22-04-2021 02:08,positive,70,photo,soccer,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26-06-2020 10:33,positive,75,photo,soccer,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,like,15-08-2020 18:16,positive,50,photo,soccer,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,love,26-11-2020 13:42,positive,65,photo,soccer,,,
182,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,14-04-2021 00:56,positive,70,photo,public speaking,,,
183,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,21-07-2020 21:27,neutral,20,photo,public speaking,,,
184,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,29-03-2021 06:57,negative,10,photo,public speaking,,,
185,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,20-05-2021 16:11,positive,70,photo,public speaking,,,
186,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,02-11-2020 06:09,positive,50,photo,public speaking,,,
187,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,24-10-2020 15:37,neutral,20,photo,public speaking,,,
188,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,07-09-2020 14:42,positive,60,photo,public speaking,,,
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,04-03-2021 02:46,negative,15,photo,public speaking,,,
190,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,07-01-2021 14:08,positive,72,photo,public speaking,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,06-07-2020 11:18,neutral,35,photo,public speaking,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,27-03-2021 04:56,positive,50,photo,public speaking,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-11-2020 21:25,positive,45,photo,public speaking,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,22-08-2020 01:25,positive,70,photo,public speaking,,,
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,14-06-2021 11:45,neutral,35,photo,public speaking,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,15-07-2020 19:28,negative,12,photo,public speaking,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-03-2021 14:39,positive,45,photo,public speaking,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,07-04-2021 03:15,positive,75,photo,public speaking,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,24-04-2021 06:56,positive,70,photo,public speaking,,,
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,30-09-2020 14:05,positive,60,photo,public speaking,,,
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,19-07-2020 19:28,positive,60,photo,public speaking,,,
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,21-01-2021 07:08,negative,15,photo,public speaking,,,
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,31-01-2021 13:48,negative,15,photo,public speaking,,,
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,24-12-2020 03:24,negative,5,photo,public speaking,,,
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,27-05-2021 01:44,negative,0,photo,public speaking,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,13-02-2021 04:14,negative,0,photo,public speaking,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14-07-2020 04:36,positive,72,photo,public speaking,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,15-07-2020 16:03,negative,10,photo,public speaking,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,08-10-2020 17:23,positive,50,photo,public speaking,,,
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,12-11-2020 23:55,positive,60,photo,public speaking,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,21-02-2021 05:01,positive,70,photo,public speaking,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,09-07-2020 08:58,positive,45,photo,public speaking,,,
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,26-06-2020 23:45,positive,72,photo,public speaking,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,20-11-2020 13:18,negative,12,photo,public speaking,,,
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,29-05-2021 21:34,positive,50,photo,public speaking,,,
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,22-02-2021 02:48,neutral,20,photo,public speaking,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-01-2021 18:39,negative,15,photo,public speaking,,,
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,01-10-2020 15:10,positive,72,photo,public speaking,,,
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,21-11-2020 08:24,negative,5,photo,public speaking,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15-04-2021 13:50,negative,15,photo,public speaking,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,30-06-2020 01:14,positive,65,photo,public speaking,,,
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,01-12-2020 15:06,positive,70,photo,public speaking,,,
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-11-2020 00:47,negative,15,photo,public speaking,,,
224,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,30-06-2020 13:08,positive,75,GIF,science,,,
225,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,04-08-2020 03:09,positive,60,GIF,science,,,
226,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,28-07-2020 07:01,positive,45,GIF,science,,,
227,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,25-10-2020 02:39,positive,75,GIF,science,,,
228,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,05-07-2020 03:37,negative,12,GIF,science,,,
229,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,28-04-2021 15:16,positive,70,GIF,science,,,
230,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,31-01-2021 00:54,neutral,20,GIF,science,,,
231,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,29-08-2020 11:37,positive,72,GIF,science,,,
232,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,15-10-2020 12:09,positive,45,GIF,science,,,
233,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,02-08-2020 21:20,positive,65,GIF,science,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,31-10-2020 21:46,negative,15,GIF,science,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,12-10-2020 09:40,positive,60,GIF,science,,,
